feature_group,n_features,features
SOL_VOL_ONLY,15,"[""sol_atr_14_rel"", ""sol_btc_vol_corr_24h"", ""sol_btc_vol_ratio_24h"", ""sol_eth_vol_corr_24h"", ""sol_eth_vol_ratio_24h"", ""sol_range"", ""sol_range_12h"", ""sol_vol_12h"", ""sol_vol_168h"", ""sol_vol_24h"", ""sol_vol_336h"", ""sol_vol_48h"", ""sol_vol_6h"", ""sol_vol_72h"", ""sol_vol_spike""]"
SOL_RET_VOL,33,"[""sol_atr_14_rel"", ""sol_btc_ret_corr_168h"", ""sol_btc_ret_corr_24h"", ""sol_btc_vol_corr_24h"", ""sol_btc_vol_ratio_24h"", ""sol_eth_ret_corr_168h"", ""sol_eth_ret_corr_24h"", ""sol_eth_vol_corr_24h"", ""sol_eth_vol_ratio_24h"", ""sol_mean_ret_12h"", ""sol_mean_ret_168h"", ""sol_mean_ret_24h"", ""sol_mean_ret_336h"", ""sol_mean_ret_48h"", ""sol_mean_ret_6h"", ""sol_mean_ret_72h"", ""sol_range"", ""sol_range_12h"", ""sol_ret_12h"", ""sol_ret_1h"", ""sol_ret_24h"", ""sol_ret_2h"", ""sol_ret_3h"", ""sol_ret_48h"", ""sol_ret_6h"", ""sol_vol_12h"", ""sol_vol_168h"", ""sol_vol_24h"", ""sol_vol_336h"", ""sol_vol_48h"", ""sol_vol_6h"", ""sol_vol_72h"", ""sol_vol_spike""]"
SOL_ALL,43,"[""sol_atr_14_rel"", ""sol_btc_momentum_diff_24h"", ""sol_btc_ret_corr_168h"", ""sol_btc_ret_corr_24h"", ""sol_btc_vol_corr_24h"", ""sol_btc_vol_ratio_24h"", ""sol_dist_ema_200"", ""sol_dist_ema_21"", ""sol_dist_ema_50"", ""sol_eth_momentum_diff_24h"", ""sol_eth_ret_corr_168h"", ""sol_eth_ret_corr_24h"", ""sol_eth_vol_corr_24h"", ""sol_eth_vol_ratio_24h"", ""sol_mean_ret_12h"", ""sol_mean_ret_168h"", ""sol_mean_ret_24h"", ""sol_mean_ret_336h"", ""sol_mean_ret_48h"", ""sol_mean_ret_6h"", ""sol_mean_ret_72h"", ""sol_range"", ""sol_range_12h"", ""sol_ret_12h"", ""sol_ret_1h"", ""sol_ret_24h"", ""sol_ret_2h"", ""sol_ret_3h"", ""sol_ret_48h"", ""sol_ret_6h"", ""sol_rsi_14"", ""sol_rsi_24"", ""sol_rsi_6"", ""sol_vol_12h"", ""sol_vol_168h"", ""sol_vol_24h"", ""sol_vol_336h"", ""sol_vol_48h"", ""sol_vol_6h"", ""sol_vol_72h"", ""sol_vol_spike"", ""sol_volume_rel_168h"", ""sol_volume_rel_24h""]"
SOL_VOL_BTC_VOL,59,"[""btc_atr_14_rel"", ""btc_mean_ret_12h"", ""btc_mean_ret_168h"", ""btc_mean_ret_24h"", ""btc_mean_ret_336h"", ""btc_mean_ret_48h"", ""btc_mean_ret_6h"", ""btc_mean_ret_72h"", ""btc_range"", ""btc_range_12h"", ""btc_ret_12h"", ""btc_ret_1h"", ""btc_ret_24h"", ""btc_ret_2h"", ""btc_ret_3h"", ""btc_ret_48h"", ""btc_ret_6h"", ""btc_vol_12h"", ""btc_vol_168h"", ""btc_vol_24h"", ""btc_vol_336h"", ""btc_vol_48h"", ""btc_vol_6h"", ""btc_vol_72h"", ""btc_vol_spike"", ""sol_atr_14_rel"", ""sol_btc_momentum_diff_24h"", ""sol_btc_ret_corr_168h"", ""sol_btc_ret_corr_24h"", ""sol_btc_vol_corr_24h"", ""sol_btc_vol_ratio_24h"", ""sol_eth_ret_corr_168h"", ""sol_eth_ret_corr_24h"", ""sol_eth_vol_corr_24h"", ""sol_eth_vol_ratio_24h"", ""sol_mean_ret_12h"", ""sol_mean_ret_168h"", ""sol_mean_ret_24h"", ""sol_mean_ret_336h"", ""sol_mean_ret_48h"", ""sol_mean_ret_6h"", ""sol_mean_ret_72h"", ""sol_range"", ""sol_range_12h"", ""sol_ret_12h"", ""sol_ret_1h"", ""sol_ret_24h"", ""sol_ret_2h"", ""sol_ret_3h"", ""sol_ret_48h"", ""sol_ret_6h"", ""sol_vol_12h"", ""sol_vol_168h"", ""sol_vol_24h"", ""sol_vol_336h"", ""sol_vol_48h"", ""sol_vol_6h"", ""sol_vol_72h"", ""sol_vol_spike""]"
SOL_VOL_ETH_VOL,59,"[""eth_atr_14_rel"", ""eth_mean_ret_12h"", ""eth_mean_ret_168h"", ""eth_mean_ret_24h"", ""eth_mean_ret_336h"", ""eth_mean_ret_48h"", ""eth_mean_ret_6h"", ""eth_mean_ret_72h"", ""eth_range"", ""eth_range_12h"", ""eth_ret_12h"", ""eth_ret_1h"", ""eth_ret_24h"", ""eth_ret_2h"", ""eth_ret_3h"", ""eth_ret_48h"", ""eth_ret_6h"", ""eth_vol_12h"", ""eth_vol_168h"", ""eth_vol_24h"", ""eth_vol_336h"", ""eth_vol_48h"", ""eth_vol_6h"", ""eth_vol_72h"", ""eth_vol_spike"", ""sol_atr_14_rel"", ""sol_btc_ret_corr_168h"", ""sol_btc_ret_corr_24h"", ""sol_btc_vol_corr_24h"", ""sol_btc_vol_ratio_24h"", ""sol_eth_momentum_diff_24h"", ""sol_eth_ret_corr_168h"", ""sol_eth_ret_corr_24h"", ""sol_eth_vol_corr_24h"", ""sol_eth_vol_ratio_24h"", ""sol_mean_ret_12h"", ""sol_mean_ret_168h"", ""sol_mean_ret_24h"", ""sol_mean_ret_336h"", ""sol_mean_ret_48h"", ""sol_mean_ret_6h"", ""sol_mean_ret_72h"", ""sol_range"", ""sol_range_12h"", ""sol_ret_12h"", ""sol_ret_1h"", ""sol_ret_24h"", ""sol_ret_2h"", ""sol_ret_3h"", ""sol_ret_48h"", ""sol_ret_6h"", ""sol_vol_12h"", ""sol_vol_168h"", ""sol_vol_24h"", ""sol_vol_336h"", ""sol_vol_48h"", ""sol_vol_6h"", ""sol_vol_72h"", ""sol_vol_spike""]"
VOL_CORE_ALL_ASSETS,41,"[""btc_atr_14_rel"", ""btc_range"", ""btc_range_12h"", ""btc_vol_12h"", ""btc_vol_168h"", ""btc_vol_24h"", ""btc_vol_336h"", ""btc_vol_48h"", ""btc_vol_6h"", ""btc_vol_72h"", ""btc_vol_spike"", ""eth_atr_14_rel"", ""eth_range"", ""eth_range_12h"", ""eth_vol_12h"", ""eth_vol_168h"", ""eth_vol_24h"", ""eth_vol_336h"", ""eth_vol_48h"", ""eth_vol_6h"", ""eth_vol_72h"", ""eth_vol_spike"", ""sol_atr_14_rel"", ""sol_btc_ret_corr_168h"", ""sol_btc_ret_corr_24h"", ""sol_btc_vol_corr_24h"", ""sol_btc_vol_ratio_24h"", ""sol_eth_ret_corr_168h"", ""sol_eth_ret_corr_24h"", ""sol_eth_vol_corr_24h"", ""sol_eth_vol_ratio_24h"", ""sol_range"", ""sol_range_12h"", ""sol_vol_12h"", ""sol_vol_168h"", ""sol_vol_24h"", ""sol_vol_336h"", ""sol_vol_48h"", ""sol_vol_6h"", ""sol_vol_72h"", ""sol_vol_spike""]"
RET_VOL_ALL_ASSETS,85,"[""btc_atr_14_rel"", ""btc_mean_ret_12h"", ""btc_mean_ret_168h"", ""btc_mean_ret_24h"", ""btc_mean_ret_336h"", ""btc_mean_ret_48h"", ""btc_mean_ret_6h"", ""btc_mean_ret_72h"", ""btc_range"", ""btc_range_12h"", ""btc_ret_12h"", ""btc_ret_1h"", ""btc_ret_24h"", ""btc_ret_2h"", ""btc_ret_3h"", ""btc_ret_48h"", ""btc_ret_6h"", ""btc_vol_12h"", ""btc_vol_168h"", ""btc_vol_24h"", ""btc_vol_336h"", ""btc_vol_48h"", ""btc_vol_6h"", ""btc_vol_72h"", ""btc_vol_spike"", ""eth_atr_14_rel"", ""eth_mean_ret_12h"", ""eth_mean_ret_168h"", ""eth_mean_ret_24h"", ""eth_mean_ret_336h"", ""eth_mean_ret_48h"", ""eth_mean_ret_6h"", ""eth_mean_ret_72h"", ""eth_range"", ""eth_range_12h"", ""eth_ret_12h"", ""eth_ret_1h"", ""eth_ret_24h"", ""eth_ret_2h"", ""eth_ret_3h"", ""eth_ret_48h"", ""eth_ret_6h"", ""eth_vol_12h"", ""eth_vol_168h"", ""eth_vol_24h"", ""eth_vol_336h"", ""eth_vol_48h"", ""eth_vol_6h"", ""eth_vol_72h"", ""eth_vol_spike"", ""sol_atr_14_rel"", ""sol_btc_momentum_diff_24h"", ""sol_btc_ret_corr_168h"", ""sol_btc_ret_corr_24h"", ""sol_btc_vol_corr_24h"", ""sol_btc_vol_ratio_24h"", ""sol_eth_momentum_diff_24h"", ""sol_eth_ret_corr_168h"", ""sol_eth_ret_corr_24h"", ""sol_eth_vol_corr_24h"", ""sol_eth_vol_ratio_24h"", ""sol_mean_ret_12h"", ""sol_mean_ret_168h"", ""sol_mean_ret_24h"", ""sol_mean_ret_336h"", ""sol_mean_ret_48h"", ""sol_mean_ret_6h"", ""sol_mean_ret_72h"", ""sol_range"", ""sol_range_12h"", ""sol_ret_12h"", ""sol_ret_1h"", ""sol_ret_24h"", ""sol_ret_2h"", ""sol_ret_3h"", ""sol_ret_48h"", ""sol_ret_6h"", ""sol_vol_12h"", ""sol_vol_168h"", ""sol_vol_24h"", ""sol_vol_336h"", ""sol_vol_48h"", ""sol_vol_6h"", ""sol_vol_72h"", ""sol_vol_spike""]"
ALL_ASSETS_NO_REL,109,"[""btc_atr_14_rel"", ""btc_dist_ema_200"", ""btc_dist_ema_21"", ""btc_dist_ema_50"", ""btc_mean_ret_12h"", ""btc_mean_ret_168h"", ""btc_mean_ret_24h"", ""btc_mean_ret_336h"", ""btc_mean_ret_48h"", ""btc_mean_ret_6h"", ""btc_mean_ret_72h"", ""btc_range"", ""btc_range_12h"", ""btc_ret_12h"", ""btc_ret_1h"", ""btc_ret_24h"", ""btc_ret_2h"", ""btc_ret_3h"", ""btc_ret_48h"", ""btc_ret_6h"", ""btc_rsi_14"", ""btc_rsi_24"", ""btc_rsi_6"", ""btc_vol_12h"", ""btc_vol_168h"", ""btc_vol_24h"", ""btc_vol_336h"", ""btc_vol_48h"", ""btc_vol_6h"", ""btc_vol_72h"", ""btc_vol_spike"", ""btc_volume_rel_168h"", ""btc_volume_rel_24h"", ""eth_atr_14_rel"", ""eth_dist_ema_200"", ""eth_dist_ema_21"", ""eth_dist_ema_50"", ""eth_mean_ret_12h"", ""eth_mean_ret_168h"", ""eth_mean_ret_24h"", ""eth_mean_ret_336h"", ""eth_mean_ret_48h"", ""eth_mean_ret_6h"", ""eth_mean_ret_72h"", ""eth_range"", ""eth_range_12h"", ""eth_ret_12h"", ""eth_ret_1h"", ""eth_ret_24h"", ""eth_ret_2h"", ""eth_ret_3h"", ""eth_ret_48h"", ""eth_ret_6h"", ""eth_rsi_14"", ""eth_rsi_24"", ""eth_rsi_6"", ""eth_vol_12h"", ""eth_vol_168h"", ""eth_vol_24h"", ""eth_vol_336h"", ""eth_vol_48h"", ""eth_vol_6h"", ""eth_vol_72h"", ""eth_vol_spike"", ""eth_volume_rel_168h"", ""eth_volume_rel_24h"", ""sol_atr_14_rel"", ""sol_btc_momentum_diff_24h"", ""sol_btc_ret_corr_168h"", ""sol_btc_ret_corr_24h"", ""sol_btc_vol_corr_24h"", ""sol_btc_vol_ratio_24h"", ""sol_dist_ema_200"", ""sol_dist_ema_21"", ""sol_dist_ema_50"", ""sol_eth_momentum_diff_24h"", ""sol_eth_ret_corr_168h"", ""sol_eth_ret_corr_24h"", ""sol_eth_vol_corr_24h"", ""sol_eth_vol_ratio_24h"", ""sol_mean_ret_12h"", ""sol_mean_ret_168h"", ""sol_mean_ret_24h"", ""sol_mean_ret_336h"", ""sol_mean_ret_48h"", ""sol_mean_ret_6h"", ""sol_mean_ret_72h"", ""sol_range"", ""sol_range_12h"", ""sol_ret_12h"", ""sol_ret_1h"", ""sol_ret_24h"", ""sol_ret_2h"", ""sol_ret_3h"", ""sol_ret_48h"", ""sol_ret_6h"", ""sol_rsi_14"", ""sol_rsi_24"", ""sol_rsi_6"", ""sol_vol_12h"", ""sol_vol_168h"", ""sol_vol_24h"", ""sol_vol_336h"", ""sol_vol_48h"", ""sol_vol_6h"", ""sol_vol_72h"", ""sol_vol_spike"", ""sol_volume_rel_168h"", ""sol_volume_rel_24h""]"
ALL_NO_TEMPORAL,109,"[""btc_atr_14_rel"", ""btc_dist_ema_200"", ""btc_dist_ema_21"", ""btc_dist_ema_50"", ""btc_mean_ret_12h"", ""btc_mean_ret_168h"", ""btc_mean_ret_24h"", ""btc_mean_ret_336h"", ""btc_mean_ret_48h"", ""btc_mean_ret_6h"", ""btc_mean_ret_72h"", ""btc_range"", ""btc_range_12h"", ""btc_ret_12h"", ""btc_ret_1h"", ""btc_ret_24h"", ""btc_ret_2h"", ""btc_ret_3h"", ""btc_ret_48h"", ""btc_ret_6h"", ""btc_rsi_14"", ""btc_rsi_24"", ""btc_rsi_6"", ""btc_vol_12h"", ""btc_vol_168h"", ""btc_vol_24h"", ""btc_vol_336h"", ""btc_vol_48h"", ""btc_vol_6h"", ""btc_vol_72h"", ""btc_vol_spike"", ""btc_volume_rel_168h"", ""btc_volume_rel_24h"", ""eth_atr_14_rel"", ""eth_dist_ema_200"", ""eth_dist_ema_21"", ""eth_dist_ema_50"", ""eth_mean_ret_12h"", ""eth_mean_ret_168h"", ""eth_mean_ret_24h"", ""eth_mean_ret_336h"", ""eth_mean_ret_48h"", ""eth_mean_ret_6h"", ""eth_mean_ret_72h"", ""eth_range"", ""eth_range_12h"", ""eth_ret_12h"", ""eth_ret_1h"", ""eth_ret_24h"", ""eth_ret_2h"", ""eth_ret_3h"", ""eth_ret_48h"", ""eth_ret_6h"", ""eth_rsi_14"", ""eth_rsi_24"", ""eth_rsi_6"", ""eth_vol_12h"", ""eth_vol_168h"", ""eth_vol_24h"", ""eth_vol_336h"", ""eth_vol_48h"", ""eth_vol_6h"", ""eth_vol_72h"", ""eth_vol_spike"", ""eth_volume_rel_168h"", ""eth_volume_rel_24h"", ""sol_atr_14_rel"", ""sol_btc_momentum_diff_24h"", ""sol_btc_ret_corr_168h"", ""sol_btc_ret_corr_24h"", ""sol_btc_vol_corr_24h"", ""sol_btc_vol_ratio_24h"", ""sol_dist_ema_200"", ""sol_dist_ema_21"", ""sol_dist_ema_50"", ""sol_eth_momentum_diff_24h"", ""sol_eth_ret_corr_168h"", ""sol_eth_ret_corr_24h"", ""sol_eth_vol_corr_24h"", ""sol_eth_vol_ratio_24h"", ""sol_mean_ret_12h"", ""sol_mean_ret_168h"", ""sol_mean_ret_24h"", ""sol_mean_ret_336h"", ""sol_mean_ret_48h"", ""sol_mean_ret_6h"", ""sol_mean_ret_72h"", ""sol_range"", ""sol_range_12h"", ""sol_ret_12h"", ""sol_ret_1h"", ""sol_ret_24h"", ""sol_ret_2h"", ""sol_ret_3h"", ""sol_ret_48h"", ""sol_ret_6h"", ""sol_rsi_14"", ""sol_rsi_24"", ""sol_rsi_6"", ""sol_vol_12h"", ""sol_vol_168h"", ""sol_vol_24h"", ""sol_vol_336h"", ""sol_vol_48h"", ""sol_vol_6h"", ""sol_vol_72h"", ""sol_vol_spike"", ""sol_volume_rel_168h"", ""sol_volume_rel_24h""]"
ALL_FEATURES,114,"[""btc_atr_14_rel"", ""btc_dist_ema_200"", ""btc_dist_ema_21"", ""btc_dist_ema_50"", ""btc_mean_ret_12h"", ""btc_mean_ret_168h"", ""btc_mean_ret_24h"", ""btc_mean_ret_336h"", ""btc_mean_ret_48h"", ""btc_mean_ret_6h"", ""btc_mean_ret_72h"", ""btc_range"", ""btc_range_12h"", ""btc_ret_12h"", ""btc_ret_1h"", ""btc_ret_24h"", ""btc_ret_2h"", ""btc_ret_3h"", ""btc_ret_48h"", ""btc_ret_6h"", ""btc_rsi_14"", ""btc_rsi_24"", ""btc_rsi_6"", ""btc_vol_12h"", ""btc_vol_168h"", ""btc_vol_24h"", ""btc_vol_336h"", ""btc_vol_48h"", ""btc_vol_6h"", ""btc_vol_72h"", ""btc_vol_spike"", ""btc_volume_rel_168h"", ""btc_volume_rel_24h"", ""dow_cos"", ""dow_sin"", ""eth_atr_14_rel"", ""eth_dist_ema_200"", ""eth_dist_ema_21"", ""eth_dist_ema_50"", ""eth_mean_ret_12h"", ""eth_mean_ret_168h"", ""eth_mean_ret_24h"", ""eth_mean_ret_336h"", ""eth_mean_ret_48h"", ""eth_mean_ret_6h"", ""eth_mean_ret_72h"", ""eth_range"", ""eth_range_12h"", ""eth_ret_12h"", ""eth_ret_1h"", ""eth_ret_24h"", ""eth_ret_2h"", ""eth_ret_3h"", ""eth_ret_48h"", ""eth_ret_6h"", ""eth_rsi_14"", ""eth_rsi_24"", ""eth_rsi_6"", ""eth_vol_12h"", ""eth_vol_168h"", ""eth_vol_24h"", ""eth_vol_336h"", ""eth_vol_48h"", ""eth_vol_6h"", ""eth_vol_72h"", ""eth_vol_spike"", ""eth_volume_rel_168h"", ""eth_volume_rel_24h"", ""hour_cos"", ""hour_sin"", ""is_weekend"", ""sol_atr_14_rel"", ""sol_btc_momentum_diff_24h"", ""sol_btc_ret_corr_168h"", ""sol_btc_ret_corr_24h"", ""sol_btc_vol_corr_24h"", ""sol_btc_vol_ratio_24h"", ""sol_dist_ema_200"", ""sol_dist_ema_21"", ""sol_dist_ema_50"", ""sol_eth_momentum_diff_24h"", ""sol_eth_ret_corr_168h"", ""sol_eth_ret_corr_24h"", ""sol_eth_vol_corr_24h"", ""sol_eth_vol_ratio_24h"", ""sol_mean_ret_12h"", ""sol_mean_ret_168h"", ""sol_mean_ret_24h"", ""sol_mean_ret_336h"", ""sol_mean_ret_48h"", ""sol_mean_ret_6h"", ""sol_mean_ret_72h"", ""sol_range"", ""sol_range_12h"", ""sol_ret_12h"", ""sol_ret_1h"", ""sol_ret_24h"", ""sol_ret_2h"", ""sol_ret_3h"", ""sol_ret_48h"", ""sol_ret_6h"", ""sol_rsi_14"", ""sol_rsi_24"", ""sol_rsi_6"", ""sol_vol_12h"", ""sol_vol_168h"", ""sol_vol_24h"", ""sol_vol_336h"", ""sol_vol_48h"", ""sol_vol_6h"", ""sol_vol_72h"", ""sol_vol_spike"", ""sol_volume_rel_168h"", ""sol_volume_rel_24h""]"
