params,folds,mean_coverage,mean_validation_macro_f1,mean_test_accuracy,std_test_accuracy,mean_test_macro_f1,std_test_macro_f1,mean_test_precision_macro,mean_test_recall_macro,mean_test_f1_bull,mean_test_f1_bear,mean_test_precision_bull,mean_test_recall_bull,mean_test_bull_prediction_rate
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6276945154100683,0.6046607720162576,0.1412136845320896,0.5450962554758174,0.14538984555332954,0.5860381274025638,0.5675695341748188,0.6216720984831288,0.4685204124685061,0.5816284330998548,0.7150117181015414,0.6663586702051094
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6244264744974255,0.5928327761368074,0.12536620298502854,0.5433074837347749,0.1294374762868519,0.569171640994547,0.5681788644344918,0.6050026117192515,0.48161235575029826,0.5880949243363606,0.6692862078178106,0.6200764074277993
"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.62369150303846,0.5998531567031351,0.12429589441320571,0.5445840334631952,0.1365887507485199,0.5666274300489272,0.5717134011129176,0.6062834646476811,0.48288460227870933,0.58081085265596,0.6787030774765369,0.6285045907170947
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6202793330880999,0.5968809567396535,0.13157557125512684,0.5359247314873167,0.14506565667780355,0.5584633877371251,0.5622818505315059,0.5971448701937044,0.47470459278092897,0.5542505244167921,0.6831531290436522,0.6423864886288804
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6189500473612928,0.60634031445825,0.13832599859399355,0.5552829452599843,0.13807033097490964,0.5910595758894539,0.5742144492881264,0.6249426676065006,0.48562322291346793,0.5939469638918706,0.7037467872036991,0.6471591455084942
"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6184163107410643,0.5900328568045127,0.11963955714588792,0.5247004305808461,0.13601627290308274,0.5358785347102557,0.5535425746263234,0.579410873176673,0.46998998798501923,0.5203834528594367,0.6645451264534,0.6313883289753418
"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6177174062073288,0.58359894800917,0.10380700339375913,0.5246025012651339,0.11736615999405414,0.5442963523780917,0.5565950400601704,0.5812305195666218,0.467974482963646,0.5555412377092938,0.6510330915874347,0.6141098093526507
"{""colsample_bytree"": 0.7, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 300, ""reg_alpha"": 0, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6172895987563054,0.609493048758285,0.13450536704567312,0.5609762357133021,0.14088842032638513,0.5862152842329946,0.5789533910233677,0.6260505666342745,0.49590190479232976,0.6056376499229523,0.6874014899912312,0.6236031487273251
"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6169414683572658,0.6079229341944176,0.15548315099155616,0.5560377880655842,0.16717423628414219,0.585445631014026,0.5782476559529106,0.6223516100922187,0.48972396603894963,0.5910557517375964,0.7026857368436343,0.647988943114869
"{""colsample_bytree"": 0.85, ""gamma"": 1, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",8,0.21624045678017742,0.6132972393279245,0.5992166195505939,0.13436989016834086,0.5410932398652023,0.1532208332051605,0.5520848296007451,0.5657935235735965,0.5836347763802342,0.4985517033501703,0.5595973801725777,0.6460698809914278,0.6004020275869253
